App,Category,Reviews,Size,Installs,IsFree,Price,Age,Genre,Last_Updated,Current_Ver,Android_Ver,Rating,Size_MB,Last_Updated_Year,Version,Min_Android,Is_Free,Category_Code,Price_Code,Genre_Code
Coloring book moana,ART_AND_DESIGN,967,14M,500000.0,Free,0,Everyone,Art & Design;Pretend Play,15-Jan-18,2.0.0,4.0.3 and up,3.9,14.0,2018.0,2.0,4.0,1,1,0,13
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,87510,8.7M,5000000.0,Free,0,Everyone,Art & Design,1-Aug-18,1.2.4,4.0.3 and up,4.7,8.7,2018.0,1.2,4.0,1,1,0,10
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,967,2.8M,100000.0,Free,0,Everyone,Art & Design;Creativity,20-Jun-18,1.1,4.4 and up,4.3,2.8,2018.0,1.1,4.4,1,1,0,12
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,178,19M,50000.0,Free,0,Everyone,Art & Design,26-Apr-18,1.1,4.0.3 and up,3.8,19.0,2018.0,1.1,4.0,1,1,0,10
Infinite Painter,ART_AND_DESIGN,36815,29M,1000000.0,Free,0,Everyone,Art & Design,14-Jun-18,6.1.61.1,4.2 and up,4.1,29.0,2018.0,6.1,4.2,1,1,0,10
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,121,3.1M,10000.0,Free,0,Everyone,Art & Design;Creativity,3-Jul-18,2.8,4.0.3 and up,4.7,3.1,2018.0,2.8,4.0,1,1,0,12
Text on Photo - Fonteee,ART_AND_DESIGN,13880,28M,1000000.0,Free,0,Everyone,Art & Design,27-Oct-17,1.0.4,4.1 and up,4.4,28.0,2017.0,1.0,4.1,1,1,0,10
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,8788,12M,1000000.0,Free,0,Everyone,Art & Design,31-Jul-18,1.0.15,4.0 and up,4.4,12.0,2018.0,1.0,4.0,1,1,0,10
Mandala Coloring Book,ART_AND_DESIGN,4326,21M,100000.0,Free,0,Everyone,Art & Design,26-Jun-18,1.0.4,4.4 and up,4.6,21.0,2018.0,1.0,4.4,1,1,0,10
Photo Designer - Write your name with shapes,ART_AND_DESIGN,3632,5.5M,500000.0,Free,0,Everyone,Art & Design,31-Jul-18,3.1,4.1 and up,4.7,5.5,2018.0,3.1,4.1,1,1,0,10
FlipaClip - Cartoon animation,ART_AND_DESIGN,194216,39M,5000000.0,Free,0,Everyone,Art & Design,3-Aug-18,2.2.5,4.0.3 and up,4.3,39.0,2018.0,2.2,4.0,1,1,0,10
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,654,12M,100000.0,Free,0,Everyone,Art & Design,20-Mar-18,1.1,4.0.3 and up,4.1,12.0,2018.0,1.1,4.0,1,1,0,10
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,7699,4.2M,500000.0,Free,0,Everyone 10+,Art & Design,12-Jul-18,2.2.6.2,4.0.3 and up,4.7,4.2,2018.0,2.2,4.0,1,1,0,10
Harley Quinn wallpapers HD,ART_AND_DESIGN,192,6.0M,10000.0,Free,0,Everyone,Art & Design,25-Apr-18,1.5,3.0 and up,4.8,6.0,2018.0,1.5,3.0,1,1,0,10
Colorfit - Drawing & Coloring,ART_AND_DESIGN,20260,25M,500000.0,Free,0,Everyone,Art & Design;Creativity,11-Oct-17,1.0.8,4.0.3 and up,4.7,25.0,2017.0,1.0,4.0,1,1,0,12
Animated Photo Editor,ART_AND_DESIGN,203,6.1M,100000.0,Free,0,Everyone,Art & Design,21-Mar-18,1.03,4.0.3 and up,4.1,6.1,2018.0,1.03,4.0,1,1,0,10
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,1120,9.2M,100000.0,Free,0,Everyone,Art & Design,12-Jul-18,6.7.12.2018,4.0.3 and up,4.2,9.2,2018.0,6.7,4.0,1,1,0,10
Easy Origami Ideas,ART_AND_DESIGN,1015,11M,100000.0,Free,0,Everyone,Art & Design,6-Jan-18,1.1.0,4.1 and up,4.2,11.0,2018.0,1.1,4.1,1,1,0,10
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,564,9.2M,100000.0,Free,0,Everyone,Art & Design,11-Jul-18,2.1,4.1 and up,3.8,9.2,2018.0,2.1,4.1,1,1,0,10
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,8145,24M,500000.0,Free,0,Everyone,Art & Design;Creativity,2-Aug-18,1.0.9,4.4 and up,4.7,24.0,2018.0,1.0,4.4,1,1,0,12
Paint Splash!,ART_AND_DESIGN,2206,1.2M,100000.0,Free,0,Everyone,Art & Design;Creativity,15-Apr-18,1.46,4.1 and up,3.8,1.2,2018.0,1.46,4.1,1,1,0,12
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,26,12M,10000.0,Free,0,Everyone,Art & Design,3-Jan-18,1.0.0,4.1 and up,4.2,12.0,2018.0,1.0,4.1,1,1,0,10
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,174531,24M,10000000.0,Free,0,Everyone,Art & Design,31-Jul-18,1.6.1,4.1 and up,4.7,24.0,2018.0,1.6,4.1,1,1,0,10
Install images with music to make video without Net - 2018,ART_AND_DESIGN,1070,26M,100000.0,Free,0,Everyone,Art & Design,14-Nov-17,1.6,4.1 and up,4.6,26.0,2017.0,1.6,4.1,1,1,0,10
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,10479,33M,100000.0,Free,0,Everyone,Auto & Vehicles,18-Jul-18,1.7.1,4.0 and up,4.9,33.0,2018.0,1.7,4.0,1,2,0,14
Gas Prices (Germany only),AUTO_AND_VEHICLES,805,5.6M,50000.0,Free,0,Everyone,Auto & Vehicles,29-Jul-18,2.5.1,4.4 and up,4.4,5.6,2018.0,2.5,4.4,1,2,0,14
Restart Navigator,AUTO_AND_VEHICLES,1403,201k,100000.0,Free,0,Everyone,Auto & Vehicles,26-Aug-14,1.0.1,2.2 and up,4.0,0.1962890625,2014.0,1.0,2.2,1,2,0,14
CityBus Lviv,AUTO_AND_VEHICLES,534,5.7M,10000.0,Free,0,Everyone,Auto & Vehicles,8-Jul-18,1.9.1,4.0.3 and up,4.6,5.7,2018.0,1.9,4.0,1,2,0,14
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,7774,17M,100000.0,Free,0,Everyone,Auto & Vehicles,3-Jul-18,1.7,4.2 and up,4.9,17.0,2018.0,1.7,4.2,1,2,0,14
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,2431,2.4M,100000.0,Free,0,Everyone,Auto & Vehicles,12-Jun-18,1.37,4.0 and up,4.6,2.4,2018.0,1.37,4.0,1,2,0,14
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,6090,27M,100000.0,Free,0,Everyone,Auto & Vehicles,3-Jul-18,1.7,4.2 and up,4.9,27.0,2018.0,1.7,4.2,1,2,0,14
Check Vehicle Tax,AUTO_AND_VEHICLES,295,2.7M,10000.0,Free,0,Everyone,Auto & Vehicles,30-Jul-18,0.2.1,4.4 and up,3.9,2.7,2018.0,0.2,4.4,1,2,0,14
Used cars for sale - Trovit,AUTO_AND_VEHICLES,52530,7.0M,5000000.0,Free,0,Everyone,Auto & Vehicles,16-Jul-18,4.47.3,4.0.3 and up,4.2,7.0,2018.0,4.47,4.0,1,2,0,14
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,116986,35M,5000000.0,Free,0,Everyone,Auto & Vehicles,2-Aug-18,1.9.7,4.0.3 and up,4.8,35.0,2018.0,1.9,4.0,1,2,0,14
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,1379,16M,500000.0,Free,0,Everyone,Auto & Vehicles,2-Aug-18,2.2.21,4.2 and up,3.6,16.0,2018.0,2.2,4.2,1,2,0,14
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,197,3.4M,50000.0,Free,0,Everyone,Auto & Vehicles,14-Jun-18,1.3,4.0 and up,4.6,3.4,2018.0,1.3,4.0,1,2,0,14
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,737,8.9M,100000.0,Free,0,Everyone,Auto & Vehicles,8-Jun-18,2.3.5.1,4.1 and up,4.5,8.9,2018.0,2.3,4.1,1,2,0,14
